Name,Symbol,Open,High,Low,Prev. Close,LTP,Change,Change %age,Volume,52 High,52 Low,MarketCap,PE,5 DAY % ,30 DAY % ,100 DAY CHART
Indian Railways,IRFC,130.50,131.85,128.00,128.11,128.13,+0.02,+0.02%,"28,720,984",229.00,108.04,"1,677 Cr",26 x,#N/A,#N/A,#N/A
Bajaj Finance,BAJFINANCE,"8,725.00","8,768.05","8,541.15","8,731.60","8,680.00",-51.60,-0.59%,"792,433","8,879.00","6,375.70","5,377 Cr",34 x,#N/A,#N/A,#N/A
Tata Motors,TATAMOTORS,685.00,692.70,679.00,682.25,689.50,+7.25,+1.06%,"9,712,600","1,179.00",606.30,"2,540 Cr",6 x,#N/A,#N/A,#N/A
Apple,AAPL,214.22,218.76,213.75,212.69,215.24,+2.55,+1.20%,"70,791",260.09,164.08,"3,237 Cr",34 x,#N/A,#N/A,#N/A
Amazon,AMZN,193.38,195.97,191.96,192.82,195.54,+2.72,+1.41%,"132,184",242.52,151.61,"2,056 Cr",35 x,#N/A,#N/A,#N/A
Tesla,TSLA,231.61,241.41,229.20,225.31,235.86,+10.55,+4.68%,"1,995,526",488.54,138.80,739 Cr,116 x,#N/A,#N/A,#N/A
Google,GOOGL,161.76,165.87,161.00,160.67,163.89,+3.22,+2.00%,"91,602",207.05,146.09,"2,014 Cr",21 x,#N/A,#N/A,#N/A
Microsoft,MSFT,385.53,389.68,384.00,383.52,387.82,+4.30,+1.12%,"40,088",468.35,376.91,"2,883 Cr",31 x,#N/A,#N/A,#N/A
Meta,META,584.28,592.32,574.77,582.36,584.06,+1.70,+0.29%,"62,553",740.89,414.50,"1,474 Cr",24 x,#N/A,#N/A,#N/A
NVIDIA,NVDA,117.27,120.45,115.68,115.43,117.52,+2.09,+1.81%,"2,061,012",153.13,75.61,"2,878 Cr",40 x,#N/A,#N/A,#N/A
Intel,INTC,24.90,25.23,24.03,25.92,24.12,-1.80,-6.94%,"399,810",45.41,18.51,104 Cr,#N/A,#N/A,#N/A,#N/A
Johnson & Johnson,JNJ,163.97,164.36,162.21,164.25,162.99,-1.26,-0.77%,"1,153",169.99,140.68,392 Cr,28 x,#N/A,#N/A,#N/A
Unilever PLC,UL,58.71,58.97,58.55,58.71,58.92,+0.21,+0.36%,"19,728",65.87,46.46,113 Cr,24 x,#N/A,#N/A,#N/A
Walmart Inc.,WMT,85.95,86.79,85.62,85.59,86.33,+0.74,+0.86%,"11,069",105.30,58.56,694 Cr,36 x,#N/A,#N/A,#N/A
"Nike, Inc.",NKE,72.64,73.43,72.29,73.31,72.99,-0.32,-0.44%,"17,118",101.92,68.62,108 Cr,23 x,#N/A,#N/A,#N/A
Amgen Inc.,AMGN,317.51,318.92,313.40,318.65,315.75,-2.90,-0.91%,811,346.85,253.30,170 Cr,42 x,#N/A,#N/A,#N/A
